year_month,survey_organization,approve_percent,disapprove_percent
2009-07,Diageo/Hotline,52.0,41.0
2009-07,FOX,54.0,37.0
2009-07,GWU (Lake/Tarrance),53.0,42.0
2009-07,Gallup,56.5,36.0
2009-07,Ipsos/McClatchy,57.0,36.5
2009-07,NBC/WSJ,53.0,40.0
2009-07,NPR,53.0,42.0
2009-07,PPP (D),48.0,42.5
2009-07,Pew,51.0,35.5
2009-07,Quinnipiac,47.5,43.5
2009-07,Rasmussen,51.0,48.0
2009-07,Time,56.0,38.0
2009-07,USA Today/Gallup,55.0,41.0
2009-07,YouGov/Economist,50.5,42.5
2009-07,Zogby (Internet),48.0,49.0
2009-07,Zogby (Phone),53.0,38.0
2009-08,ABC/Post,57.0,40.0
2009-08,ARG,46.5,45.0
2009-08,CBS News,53.0,37.0
2009-08,CNN,48.0,49.0
2009-08,Clarus,49.0,39.0
2009-08,Democracy Corps (D),47.5,44.5
2009-08,FOX,51.0,42.0
2009-08,Gallup,53.0,40.0
2009-08,Harris (Internet),49.0,51.0
2009-08,Ipsos/McClatchy,55.0,38.5
2009-08,Marist College,51.0,36.0
2009-08,NBC News,51.0,40.0
2009-08,NSLC/Public Opinion Strategies (R),51.0,46.0
2009-08,PPP (D),50.0,42.0
2009-08,Pew,51.0,37.0
2009-08,Public Opinion Strategies (R),54.0,43.0
2009-08,Rasmussen,49.0,50.0
2009-08,YouGov/Economist,48.0,45.5
2009-08,Zogby (Internet),45.0,48.0
2009-09,ABC/Post,54.0,43.0
2009-09,AP-GFK,50.0,49.0
2009-09,ARG,43.0,51.0
2009-09,Allstate/National Journal,52.0,40.0
2009-09,Anzalone-Liszt (D-AUFC),56.0,41.0
2009-09,Bloomberg,56.0,37.0
2009-09,CBS/Times,51.5,35.5
2009-09,CNN,58.0,40.0
2009-09,Democracy Corps (D),46.0,46.0
2009-09,FOX,50.5,41.5
2009-09,Gallup,52.0,41.0
2009-09,Harris (Internet),47.5,52.5
2009-09,NBC/WSJ,51.0,41.0
2009-09,OnMessage (R-RNC),55.0,43.0
2009-09,PPP (D),52.0,42.0
2009-09,Pew,52.0,36.0
2009-09,Quinnipiac,47.5,42.5
2009-09,Rasmussen,49.0,50.0
2009-09,USA Today/Gallup,54.0,43.0
2009-09,YouGov/Economist,49.5,44.0
2009-09,Zogby (Internet),49.0,50.0
2009-10,ABC/Post,57.0,40.0
2009-10,AP-GFK,56.0,39.0
2009-10,AP-GFK/RWJF/Stanford,53.0,46.0
2009-10,ARG,57.0,41.5
2009-10,CBS News,54.0,34.5
2009-10,CNN,54.5,44.0
2009-10,FOX,49.0,43.0
2009-10,Gallup,53.0,40.0
2009-10,Harris (Internet),42.5,57.5
2009-10,Ipsos/McClatchy,50.0,41.0
2009-10,Marist College,49.0,44.0
2009-10,NBC/WSJ,51.0,42.0
2009-10,PPP (D),48.5,43.5
2009-10,Pew,48.0,37.5
2009-10,Rasmussen,48.0,51.0
2009-10,USA Today/Gallup,50.0,46.0
2009-10,YouGov/Economist,50.0,43.0
2009-10,Zogby (Internet),49.0,51.0
2009-11,ABC/Post,56.0,42.0
2009-11,AP-GFK,54.0,43.0
2009-11,ARG,48.0,46.0
2009-11,CBS News,53.0,36.0
2009-11,CNN,55.0,42.0
2009-11,Democracy Corps (D),50.0,44.0
2009-11,FOX,40.0,48.5
2009-11,Gallup,50.0,42.0
2009-11,Harris (Internet),43.0,57.0
2009-11,PPP (D),48.0,46.0
2009-11,Public Opinion Strategies (R),52.0,44.0
2009-11,Quinnipiac,45.5,44.5
2009-11,Rasmussen,47.0,52.0
2009-11,YouGov/Economist,47.0,45.5
2009-11,Zogby (Internet),49.0,51.0
2009-12,ABC/Post,50.0,46.0
2009-12,AP-GFK,56.0,42.0
2009-12,ARG,41.0,54.0
2009-12,Bloomberg,54.0,41.0
2009-12,CBS/Times,46.5,40.0
2009-12,CNN,51.0,47.0
2009-12,FOX,47.0,46.0
2009-12,GWU (Lake/Tarrance),50.0,45.0
2009-12,Gallup,50.0,43.0
2009-12,Harris (Internet),39.0,61.0
2009-12,Ipsos/McClatchy,45.0,52.0
2009-12,Marist College,43.5,44.0
2009-12,NBC/WSJ,47.0,46.0
2009-12,PPP (D),47.5,47.0
2009-12,Pew,45.5,42.0
2009-12,Quinnipiac,43.5,45.0
2009-12,Rasmussen,46.0,53.0
2009-12,USA Today/Gallup,49.0,46.0
2009-12,YouGov/Economist,45.0,47.0
2009-12,Zogby (Internet),29.5,70.5
2010-01,ABC/Post,53.0,44.0
2010-01,AP-GFK,56.0,42.0
2010-01,ARG,50.5,44.5
2010-01,Allstate/National Journal,47.0,45.0
2010-01,CBS News,44.0,40.5
2010-01,CNN,50.0,49.0
2010-01,Democracy Corps (D),50.0,46.0
2010-01,FOX,47.5,40.0
2010-01,Fairleigh Dickinson,42.5,47.5
2010-01,Gallup,49.0,44.0
2010-01,Harris (Internet),36.5,63.5
2010-01,Ipsos/McClatchy,52.0,45.0
2010-01,McLaughlin (R)/National  Review (R),50.0,46.0
2010-01,NBC/WSJ,49.0,43.5
2010-01,NPR,49.0,48.0
2010-01,PPP (D),47.0,47.5
2010-01,Pew,44.0,45.5
2010-01,Quinnipiac,43.5,46.5
2010-01,Rasmussen,47.0,52.0
2010-01,YouGov/Economist,42.5,50.5
2010-01,Zogby (Internet),29.5,70.0
2010-02,ABC/Post,51.0,46.0
2010-02,ARG,47.0,48.0
2010-02,CBS/Times,45.0,44.5
2010-02,CNN,49.0,50.0
2010-02,Democracy Corps (D),47.0,47.0
2010-02,Democracy Corps (D)/Third Way (D),49.0,46.0
2010-02,FOX,45.5,47.0
2010-02,Gallup,50.0,43.0
2010-02,Ipsos/McClatchy,53.5,43.0
2010-02,Marist College,36.5,52.0
2010-02,McLaughlin (R)/Citizens United (R),47.0,49.5
2010-02,Newsweek,48.0,40.0
2010-02,PPP (D),48.0,47.0
2010-02,Pew,49.0,39.0
2010-02,Public Opinion Strategies (R),48.0,48.0
2010-02,Quinnipiac,42.5,47.5
2010-02,Rasmussen,46.0,53.0
2010-02,YouGov/Economist,45.0,50.0
2010-02,Zogby (Internet),30.0,69.0
2010-03,AP-GFK,53.0,46.0
2010-03,ARG,44.0,53.0
2010-03,Bloomberg,50.0,45.0
2010-03,CBS News,42.0,43.5
2010-03,CNN,48.5,49.5
2010-03,Democracy Corps (D)/Third Way (D),46.0,48.0
2010-03,FOX,46.5,46.5
2010-03,Gallup,48.0,44.0
2010-03,Harris (Internet),40.0,60.0
2010-03,Marist College,42.5,44.0
2010-03,NBC/WSJ,48.0,47.0
2010-03,OnMessage (R-RNC),49.0,47.0
2010-03,PPP (D),45.5,49.0
2010-03,Pew,41.5,46.0
2010-03,Quinnipiac,42.5,47.5
2010-03,Rasmussen,46.0,53.0
2010-03,Washington Post,53.0,43.0
2010-03,YouGov/Economist,44.5,49.0
2010-03,Zogby (Internet),27.5,71.5
2010-04,ABC/Post,54.0,44.0
2010-04,AP-GFK,49.0,50.0
2010-04,ARG,42.5,53.5
2010-04,Allstate/National Journal,48.0,46.0
2010-04,CBS/Times,50.0,39.0
2010-04,CNN,51.0,47.0
2010-04,Democracy Corps (D),48.0,46.0
2010-04,FOX,41.0,47.5
2010-04,GWU (Lake/Tarrance),50.0,47.0
2010-04,Gallup,49.0,45.0
2010-04,Harris (Internet),38.5,61.5
2010-04,PPP (D),43.5,46.5
2010-04,Pew,47.0,43.0
2010-04,Public Opinion Strategies (R),50.0,48.0
2010-04,Quinnipiac,41.0,48.0
2010-04,Rasmussen,47.0,52.0
2010-04,Resurgent Republic (R),44.5,50.0
2010-04,YouGov/Economist,44.5,49.5
2010-04,Zogby (Internet),48.0,52.0
2010-05,AP-GFK,49.0,50.0
2010-05,ARG,46.5,50.5
2010-05,CBS News,45.5,42.5
2010-05,CNN,51.0,46.0
2010-05,Democracy Corps (D),47.0,47.0
2010-05,FOX,42.0,45.5
2010-05,Gallup,49.0,44.0
2010-05,Ipsos/McClatchy,46.0,45.0
2010-05,NBC/MSNBC/Telemundo,48.0,45.0
2010-05,NBC/WSJ,50.0,44.0
2010-05,PPP (D),48.0,46.5
2010-05,Pew,47.0,42.0
2010-05,Quinnipiac,45.5,45.5
2010-05,Rasmussen,46.0,53.0
2010-05,YouGov/Economist,43.0,49.5
2010-05,Zogby (Internet),48.5,51.5
2010-06,ABC/Post,52.0,45.0
2010-06,AP-GFK,50.0,49.0
2010-06,ARG,39.0,52.5
2010-06,CBS/Times,45.0,43.5
2010-06,CNN,50.0,48.0
2010-06,Democracy Corps (D),46.0,50.0
2010-06,FOX,42.0,48.5
2010-06,Gallup,46.0,45.5
2010-06,Ipsos/McClatchy,48.5,42.0
2010-06,Marist College,40.5,47.0
2010-06,NBC/WSJ,45.0,48.0
2010-06,Newsweek,45.5,48.0
2010-06,PPP (D),43.0,51.0
2010-06,Pew,46.0,44.0
2010-06,Rasmussen,45.0,54.0
2010-06,Resurgent Republic (R),46.5,49.5
2010-06,YouGov/Economist,40.5,51.5
2010-06,Zogby (Internet),46.5,53.0
2010-07,ABC/Post,50.0,47.0
2010-07,ARG,38.0,53.5
2010-07,Bloomberg,52.0,44.0
2010-07,CBS News,41.0,45.0
2010-07,CNN,47.0,50.0
2010-07,Democracy Corps (D)/CAF,45.0,51.0
2010-07,FOX,41.5,49.0
2010-07,Gallup,45.0,47.0
2010-07,Ipsos/Reuters,50.0,44.5
2010-07,PPP (D),42.5,54.0
2010-07,Pew,44.5,42.0
2010-07,Quinnipiac,41.0,50.0
2010-07,Rasmussen,46.0,54.0
2010-07,Time,49.0,45.0
2010-07,USA Today/Gallup,41.0,53.0
2010-07,YouGov/Economist,42.5,51.5
2010-07,Zogby (Internet),43.0,57.0
2010-08,ABC/Post,46.0,52.0
2010-08,AP-GFK,49.0,50.0
2010-08,AP/RWJF/Knowledge Networks,37.0,41.0
2010-08,ARG,39.5,55.5
2010-08,Allstate/National Journal,46.0,49.0
2010-08,CBS News,45.0,44.5
2010-08,CNN,45.5,52.5
2010-08,Democracy Corps (D),46.0,50.0
2010-08,FOX,42.5,47.5
2010-08,Gallup,44.0,49.0
2010-08,Ipsos/Reuters,41.0,52.5
2010-08,NBC/WSJ,46.0,48.5
2010-08,Newsweek,44.0,46.5
2010-08,PPP (D),45.5,48.5
2010-08,Pew,43.5,44.5
2010-08,Quinnipiac,41.0,49.5
2010-08,Rasmussen,46.0,53.0
2010-08,Time,46.0,45.0
2010-08,YouGov/Economist,41.0,54.5
2010-08,Zogby (Internet),43.5,56.0
2010-09,ABC/Post,50.0,47.0
2010-09,AP-GFK,49.0,50.0
2010-09,AP/Knowledge Networks,36.0,48.0
2010-09,ARG,44.5,50.5
2010-09,CBS/Times,45.0,47.0
2010-09,CNN,45.0,54.0
2010-09,FOX,41.0,50.0
2010-09,GWU/Politico (Lake/Tarrance),45.5,50.0
2010-09,Gallup,45.0,47.0
2010-09,Ipsos/Reuters,58.5,34.5
2010-09,Marist/McClatchy,41.5,52.0
2010-09,NBC/WSJ,46.0,49.0
2010-09,Newsweek,48.0,46.0
2010-09,PPP (D),52.5,41.5
2010-09,Rasmussen,45.0,54.0
2010-09,YouGov/Economist,40.5,52.0
2010-09,Zogby (Internet),46.0,54.0
2010-10,ABC/Post,50.0,45.0
2010-10,AP-GFK,49.0,50.0
2010-10,ARG,42.0,48.0
2010-10,Bloomberg,47.0,48.0
2010-10,CBS,43.0,45.0
2010-10,CBS/Times,40.5,49.0
2010-10,CNN,41.0,55.5
2010-10,Democracy Corps (D),43.5,52.0
2010-10,FOX,40.0,48.0
2010-10,GWU/Politico (Lake/Tarrance),45.0,50.0
2010-10,Gallup,45.0,48.0
2010-10,Ipsos/Reuters,42.5,50.0
2010-10,Marist/McClatchy,48.0,43.0
2010-10,NBC/WSJ,45.5,50.5
2010-10,Newsweek,54.0,40.0
2010-10,Pew,46.0,45.0
2010-10,Rasmussen,47.0,52.0
2010-10,USA Today/Gallup,45.0,49.0
2010-10,YouGov/Economist,41.0,53.5
2010-10,Zogby (Internet),46.0,53.5
2010-11,AP-GFK,47.5,49.5
2010-11,CBS,45.0,44.0
2010-11,CNN,48.0,50.0
2010-11,Democracy Corps (D)/Resurgent Republic (R),46.0,51.0
2010-11,Gallup,45.0,47.0
2010-11,NBC/WSJ,47.0,47.0
2010-11,PPP (D),46.5,49.0
2010-11,Pew,44.0,44.0
2010-11,Quinnipiac,40.5,52.0
2010-11,Rasmussen,46.0,53.0
2010-11,YouGov/Economist,41.5,52.0
2010-11,Zogby (Internet),42.0,58.0
2010-12,ABC/Post,49.0,47.0
2010-12,ARG,39.0,53.0
2010-12,Bloomberg,47.0,48.0
2010-12,CNN,48.0,48.0
2010-12,FOX,38.5,49.5
2010-12,Gallup,46.0,46.0
2010-12,Ipsos/Reuters,43.5,41.5
2010-12,Marist/McClatchy,40.5,51.0
2010-12,NBC/WSJ,45.0,48.0
2010-12,Rasmussen,46.0,53.0
2010-12,YouGov/Economist,40.5,53.5
2010-12,Zogby (Internet),41.0,58.5
2011-01,ABC/Post,54.0,43.0
2011-01,AP-GFK,53.0,46.0
2011-01,ARG,50.0,45.0
2011-01,CBS/Times,46.0,39.0
2011-01,CNN,54.5,44.5
2011-01,DailyKos/PPP (D),45.5,50.5
2011-01,Democracy Corps (D)/Campaign for America's Future,47.0,47.0
2011-01,Gallup,49.0,42.0
2011-01,Ipsos/Reuters,50.0,46.0
2011-01,Marist/McClatchy,46.0,43.5
2011-01,NBC/WSJ,53.0,41.0
2011-01,Pew,46.0,44.0
2011-01,Quinnipiac,44.5,45.0
2011-01,Rasmussen,48.5,50.0
2011-01,Resurgent Republic (R),50.0,45.5
2011-01,YouGov/Economist,45.0,49.0
2011-01,Zogby (Internet),44.0,56.0
2011-02,ARG,46.5,49.0
2011-02,CBS,45.0,40.0
2011-02,DailyKos/PPP (D),48.0,46.5
2011-02,Democracy Corps (D),51.0,44.0
2011-02,FOX,51.0,43.0
2011-02,Gallup,47.0,44.0
2011-02,Ipsos/Reuters,49.0,46.5
2011-02,NBC/WSJ,48.0,46.0
2011-02,Newsweek/Daily Beast,50.0,44.0
2011-02,PPP (D),49.0,46.0
2011-02,Pew,49.0,42.0
2011-02,Quinnipiac,44.5,47.0
2011-02,Rasmussen,48.0,51.5
2011-02,YouGov/Economist,43.5,49.0
2011-02,Zogby (Internet),45.5,54.0
2011-03,ABC/Post,51.0,45.0
2011-03,AP-GFK,53.0,45.0
2011-03,ARG,44.0,51.5
2011-03,Allstate/National Journal,49.0,44.0
2011-03,Bloomberg,51.0,43.0
2011-03,CBS,47.5,40.0
2011-03,CNN,48.0,48.0
2011-03,DailyKos/SEIU/PPP (D),45.5,47.0
2011-03,FOX,48.0,44.0
2011-03,Fairleigh Dickinson,41.5,50.5
2011-03,Gallup,46.0,45.0
2011-03,Ipsos/Reuters,43.0,50.0
2011-03,NBC/WSJ,49.0,45.0
2011-03,PPP (D),46.5,47.0
2011-03,Pew,44.5,46.5
2011-03,Quinnipiac,40.5,49.0
2011-03,Rasmussen,46.0,53.0
2011-03,Reason/Rupe,43.0,36.0
2011-03,Resurgent Republic (R),43.0,51.5
2011-03,YouGov/Economist,41.0,50.5
2011-03,Zogby (Internet),45.0,54.5
2011-04,ABC/Post,47.0,50.0
2011-04,ARG,39.5,56.0
2011-04,CBS/Times,44.5,45.0
2011-04,CNN,41.5,56.0
2011-04,DailyKos/SEIU/PPP (D),44.5,48.5
2011-04,Democracy Corps (D)/Campaign For America's Future,44.0,50.0
2011-04,FOX,43.0,49.0
2011-04,Gallup,44.0,47.0
2011-04,Ipsos/Reuters,41.5,51.0
2011-04,Marist/McClatchy,43.0,50.0
2011-04,Newsweek/Daily Beast,48.0,49.0
2011-04,PPP (D),48.0,45.0
2011-04,Quinnipiac,46.0,48.0
2011-04,Rasmussen,47.0,52.0
2011-04,YouGov/Economist,41.0,50.5
2011-04,Zogby (Internet),43.0,57.0
2011-05,AP-GFK,60.0,39.0
2011-05,Allstate/National Journal,51.0,41.0
2011-05,CNN,51.0,44.0
2011-05,DailyKos/SEIU/PPP (D),49.0,46.0
2011-05,Democracy Corps (D)/Women's Voices. Women Vote.,49.0,45.0
2011-05,FOX,49.0,45.0
2011-05,GWU/Politico (Lake/Tarrance),51.0,45.5
2011-05,Gallup,50.0,42.0
2011-05,Ipsos/Reuters,44.5,47.5
2011-05,NBC News,52.0,41.0
2011-05,Newsweek/Daily Beast,48.0,49.0
2011-05,PPP (D),46.0,47.5
2011-05,Pew,52.0,39.0
2011-05,Quinnipiac,47.0,43.0
2011-05,Rasmussen,49.0,50.0
2011-05,Suffolk,47.0,45.0
2011-05,SurveyUSA,43.5,42.0
2011-05,YouGov/Economist,44.0,49.0
2011-05,Zogby (Internet),48.0,52.0
2011-06,ABC/Post,47.0,49.0
2011-06,AP-GFK,52.0,47.0
2011-06,ARG,38.0,54.5
2011-06,Bloomberg,49.0,44.0
2011-06,CBS,47.5,42.0
2011-06,CBS/Times,47.0,43.5
2011-06,CNN,48.0,48.0
2011-06,DailyKos/SEIU/PPP (D),46.0,49.0
2011-06,Democracy Corps (D),46.0,48.0
2011-06,FOX,43.0,45.5
2011-06,Gallup,46.0,46.0
2011-06,Ipsos/Reuters,47.0,46.0
2011-06,Marist/McClatchy,42.0,49.0
2011-06,NBC/WSJ,49.0,46.0
2011-06,Pew,44.0,45.5
2011-06,Rasmussen,47.0,52.0
2011-06,YouGov/Economist,43.0,49.5
2011-06,Zogby (Internet),44.5,54.5
2011-07,ABC/Post,47.0,48.0
2011-07,ARG,43.0,49.0
2011-07,CNN,42.0,56.5
2011-07,DailyKos/SEIU/PPP (D),45.0,49.5
2011-07,FOX,44.5,46.0
2011-07,Gallup,44.0,48.0
2011-07,Ipsos/Reuters,44.0,48.5
2011-07,NBC/WSJ,47.0,48.0
2011-07,PPP (D),45.0,48.5
2011-07,Pew,44.0,48.0
2011-07,Quinnipiac,43.5,49.5
2011-07,Rasmussen,45.0,54.0
2011-07,YouGov/Economist,41.0,50.5
2011-07,Zogby (Internet),42.0,58.0
2011-08,ABC/Post,43.0,53.0
2011-08,AP-GFK,46.0,52.0
2011-08,ARG,42.5,50.0
2011-08,CNN,43.0,55.0
2011-08,DailyKos/SEIU/PPP (D),42.0,53.0
2011-08,Democracy Corps (D)/Women's Voices. Women Vote.,45.0,50.0
2011-08,FOX,36.5,51.5
2011-08,Gallup,41.0,51.0
2011-08,Ipsos/Reuters,46.0,48.0
2011-08,NBC/WSJ,44.0,51.0
2011-08,Pew,41.0,50.5
2011-08,Politico/GWU/Battleground,45.0,50.0
2011-08,Quinnipiac,41.0,53.0
2011-08,Rasmussen,44.0,55.0
2011-08,Resurgent Republic (R),44.0,53.0
2011-08,Washington Post,44.0,46.0
2011-08,YouGov/Economist,37.0,55.0
2011-08,Zogby (Internet),40.0,60.0
2011-09,ABC/Post,42.0,54.0
2011-09,ARG,41.0,56.0
2011-09,Allstate/National Journal,44.0,50.0
2011-09,Bloomberg,45.0,49.0
2011-09,CBS,42.5,43.0
2011-09,CBS/Times,40.0,52.0
2011-09,CNN,43.0,55.0
2011-09,DailyKos/SEIU/PPP (D),40.5,53.5
2011-09,FOX,37.0,53.0
2011-09,Gallup,42.0,50.0
2011-09,Ipsos/Reuters,44.5,45.5
2011-09,Marist/McClatchy,39.0,52.0
2011-09,Pew,39.5,50.0
2011-09,Quinnipiac,39.5,55.5
2011-09,Rasmussen,45.0,54.0
2011-09,YouGov/Economist,37.5,56.0
2011-09,Zogby (Internet),42.0,58.0
2011-10,ABC/Post,44.0,53.0
2011-10,AP-GFK,46.0,52.0
2011-10,ARG,36.5,55.5
2011-10,CBS/Times,46.0,46.0
2011-10,CNN,45.0,51.0
2011-10,DailyKos/SEIU/PPP (D),43.5,50.0
2011-10,Democracy Corps (D)/Center for American Progress,40.0,53.0
2011-10,FOX,37.5,50.5
2011-10,Gallup,42.0,51.0
2011-10,Ipsos/Reuters,45.5,50.0
2011-10,NBC/WSJ,44.0,51.0
2011-10,PPP (D),45.0,51.0
2011-10,Quinnipiac,47.0,49.0
2011-10,Rasmussen,44.0,54.0
2011-10,Resurgent Republic (R),46.5,50.0
2011-10,Time,44.0,50.0
2011-10,YouGov/Economist,38.0,53.5
2011-10,Zogby (Internet),41.0,59.0
2011-11,ARG,37.5,58.5
2011-11,Allstate/National Journal,44.0,49.0
2011-11,CNN,43.0,54.0
2011-11,DailyKos/SEIU/PPP (D),41.5,53.5
2011-11,FOX,37.5,49.0
2011-11,Fairleigh Dickinson,40.5,47.0
2011-11,Gallup,42.0,49.0
2011-11,Marist/McClatchy,43.0,50.0
2011-11,NBC/WSJ,44.0,51.0
2011-11,PPP (D),45.0,51.0
2011-11,Pew,43.0,49.0
2011-11,Politico/GWU/Battleground,44.0,51.0
2011-11,Quinnipiac,43.0,49.5
2011-11,Rasmussen,45.0,53.0
2011-11,YouGov/Economist,39.5,53.5
2011-11,Zogby (Internet),44.0,55.0
2011-12,ABC/Post,49.0,47.0
2011-12,AP-GFK,44.0,54.0
2011-12,ARG,45.0,50.5
2011-12,CBS,42.5,45.0
2011-12,CNN,46.5,49.5
2011-12,DailyKos/SEIU/PPP (D),42.0,51.5
2011-12,FOX,41.0,52.0
2011-12,Gallup,43.0,49.0
2011-12,Ipsos/Reuters,40.5,49.5
2011-12,NBC/WSJ,46.0,48.0
2011-12,PPP (D),42.5,53.0
2011-12,Pew,46.0,43.0
2011-12,Rasmussen,46.0,53.0
2011-12,Reason/Rupe,49.0,47.0
2011-12,YouGov/Economist,41.0,51.0
2012-01,ABC/Post,48.0,48.0
2012-01,CBS,41.5,48.0
2012-01,CBS/Times,44.5,45.5
2012-01,CNN,46.0,50.5
2012-01,DailyKos/SEIU/PPP (D),43.5,52.0
2012-01,Democracy Corps (D),44.0,49.0
2012-01,FOX,40.5,49.5
2012-01,Gallup,45.0,47.0
2012-01,Ipsos/Reuters,46.0,46.5
2012-01,NBC/WSJ,48.0,46.0
2012-01,PPP (D),49.5,47.0
2012-01,Pew,40.5,52.0
2012-01,Rasmussen,46.0,52.0
2012-01,YouGov/Economist,43.5,51.0
2012-02,ABC/Post,50.0,46.0
2012-02,AP-GFK,49.0,49.0
2012-02,CBS/Times,48.0,43.5
2012-02,CNN,50.0,47.0
2012-02,DailyKos/SEIU/PPP (D),46.5,48.0
2012-02,Democracy Corps (D),50.0,46.0
2012-02,FOX,40.5,48.5
2012-02,Fairleigh Dickinson,39.5,48.0
2012-02,Gallup,45.0,48.0
2012-02,Ipsos/Reuters,45.0,50.0
2012-02,NBC/WSJ,50.0,45.0
2012-02,Politico/GWU/Battleground,53.0,45.0
2012-02,Quinnipiac,44.5,49.0
2012-02,Rasmussen,49.0,50.0
2012-02,YouGov/Economist,43.0,48.0
2012-03,ABC/Post,46.0,50.0
2012-03,ARG,49.0,45.0
2012-03,Bloomberg,48.0,47.0
2012-03,CBS/Times,39.0,46.0
2012-03,CNN,49.0,46.5
2012-03,DailyKos/SEIU/PPP (D),46.0,50.0
2012-03,FOX,43.0,45.5
2012-03,Gallup,47.0,45.0
2012-03,Ipsos/Reuters,46.0,51.0
2012-03,Marist/McClatchy,46.0,49.0
